Name,Loaded As,Matrix,Operation,Run type,Thread count,Millis
double-10X10-add-bi-2-threads,double,bi_dimensional_array_backed,add,threaded,2,0
double-10X10-add-bi-4-threads,double,bi_dimensional_array_backed,add,threaded,4,3
double-10X10-add-bi-6-threads,double,bi_dimensional_array_backed,add,threaded,6,1
double-10X10-add-bi-8-threads,double,bi_dimensional_array_backed,add,threaded,8,1
complex-10X10-add-uni-linear,complex,uni_dimensional_array_backed,add,linear,null,0
complex-10X10-add-uni-50-threads,complex,uni_dimensional_array_backed,add,threaded,50,6
complex-10X10-add-uni-2-threads,complex,uni_dimensional_array_backed,add,threaded,2,6
complex-10X10-add-uni-4-threads,complex,uni_dimensional_array_backed,add,threaded,4,1
complex-10X10-add-uni-6-threads,complex,uni_dimensional_array_backed,add,threaded,6,1
complex-10X10-add-uni-8-threads,complex,uni_dimensional_array_backed,add,threaded,8,5
complex-10X10-add-bi-linear,complex,bi_dimensional_array_backed,add,linear,null,0
complex-10X10-add-bi-50-threads,complex,bi_dimensional_array_backed,add,threaded,50,7
complex-10X10-add-bi-2-threads,complex,bi_dimensional_array_backed,add,threaded,2,0
complex-10X10-add-bi-4-threads,complex,bi_dimensional_array_backed,add,threaded,4,1
complex-10X10-add-bi-6-threads,complex,bi_dimensional_array_backed,add,threaded,6,0
complex-10X10-add-bi-8-threads,complex,bi_dimensional_array_backed,add,threaded,8,4
double-10X10-custom-uni-linear,double,uni_dimensional_array_backed,custom,linear,null,0
double-10X10-custom-uni-50-threads,complex,uni_dimensional_array_backed,custom,threaded,50,13
double-10X10-custom-uni-2-threads,double,uni_dimensional_array_backed,custom,threaded,2,1
double-10X10-custom-uni-4-threads,double,uni_dimensional_array_backed,custom,threaded,4,1
double-10X10-custom-uni-6-threads,double,uni_dimensional_array_backed,custom,threaded,6,5
double-10X10-custom-uni-8-threads,double,uni_dimensional_array_backed,custom,threaded,8,0
double-10X10-custom-bi-linear,double,bi_dimensional_array_backed,custom,linear,null,0
double-10X10-custom-bi-50-threads,double,bi_dimensional_array_backed,custom,threaded,50,11
double-10X10-custom-bi-2-threads,double,bi_dimensional_array_backed,custom,threaded,2,0
double-10X10-custom-bi-4-threads,double,bi_dimensional_array_backed,custom,threaded,4,1
double-10X10-custom-bi-6-threads,double,bi_dimensional_array_backed,custom,threaded,6,3
double-10X10-custom-bi-8-threads,double,bi_dimensional_array_backed,custom,threaded,8,6
complex-10X10-custom-uni-linear,complex,uni_dimensional_array_backed,custom,linear,null,0
complex-10X10-custom-uni-50-threads,complex,uni_dimensional_array_backed,custom,threaded,50,17
complex-10X10-custom-uni-2-threads,complex,uni_dimensional_array_backed,custom,threaded,2,1
complex-10X10-custom-uni-4-threads,complex,uni_dimensional_array_backed,custom,threaded,4,2
complex-10X10-custom-uni-6-threads,complex,uni_dimensional_array_backed,custom,threaded,6,0
complex-10X10-custom-uni-8-threads,complex,uni_dimensional_array_backed,custom,threaded,8,1
complex-10X10-custom-bi-linear,complex,bi_dimensional_array_backed,custom,linear,null,0
complex-10X10-custom-bi-50-threads,complex,bi_dimensional_array_backed,custom,threaded,50,12
complex-10X10-custom-bi-2-threads,complex,bi_dimensional_array_backed,custom,threaded,2,1
complex-10X10-custom-bi-4-threads,complex,bi_dimensional_array_backed,custom,threaded,4,2
complex-10X10-custom-bi-6-threads,complex,bi_dimensional_array_backed,custom,threaded,6,5
complex-10X10-custom-bi-8-threads,complex,bi_dimensional_array_backed,custom,threaded,8,0
double-10X10-custom-uni-linear,double,uni_dimensional_array_backed,custom,linear,null,0
double-10X10-custom-uni-50-threads,complex,uni_dimensional_array_backed,custom,threaded,50,3
double-10X10-custom-uni-2-threads,double,uni_dimensional_array_backed,custom,threaded,2,1
double-10X10-custom-uni-4-threads,double,uni_dimensional_array_backed,custom,threaded,4,1
double-10X10-custom-uni-6-threads,double,uni_dimensional_array_backed,custom,threaded,6,0
double-10X10-custom-uni-8-threads,double,uni_dimensional_array_backed,custom,threaded,8,1
double-10X10-custom-bi-linear,double,bi_dimensional_array_backed,custom,linear,null,0
double-10X10-custom-bi-50-threads,double,bi_dimensional_array_backed,custom,threaded,50,3
double-10X10-custom-bi-2-threads,double,bi_dimensional_array_backed,custom,threaded,2,0
double-10X10-custom-bi-4-threads,double,bi_dimensional_array_backed,custom,threaded,4,0
double-10X10-custom-bi-6-threads,double,bi_dimensional_array_backed,custom,threaded,6,1
double-10X10-custom-bi-8-threads,double,bi_dimensional_array_backed,custom,threaded,8,1
complex-10X10-custom-uni-linear,complex,uni_dimensional_array_backed,custom,linear,null,0
complex-10X10-custom-uni-50-threads,complex,uni_dimensional_array_backed,custom,threaded,50,3
complex-10X10-custom-uni-2-threads,complex,uni_dimensional_array_backed,custom,threaded,2,0
complex-10X10-custom-uni-4-threads,complex,uni_dimensional_array_backed,custom,threaded,4,1
complex-10X10-custom-uni-6-threads,complex,uni_dimensional_array_backed,custom,threaded,6,1
complex-10X10-custom-uni-8-threads,complex,uni_dimensional_array_backed,custom,threaded,8,1
complex-10X10-custom-bi-linear,complex,bi_dimensional_array_backed,custom,linear,null,1
complex-10X10-custom-bi-50-threads,complex,bi_dimensional_array_backed,custom,threaded,50,15
complex-10X10-custom-bi-2-threads,complex,bi_dimensional_array_backed,custom,threaded,2,0
complex-10X10-custom-bi-4-threads,complex,bi_dimensional_array_backed,custom,threaded,4,0
complex-10X10-custom-bi-6-threads,complex,bi_dimensional_array_backed,custom,threaded,6,0
complex-10X10-custom-bi-8-threads,complex,bi_dimensional_array_backed,custom,threaded,8,0
double-100X100-custom-uni-linear,double,uni_dimensional_array_backed,custom,linear,null,2
double-100X100-custom-uni-50-threads,complex,uni_dimensional_array_backed,custom,threaded,50,15
double-100X100-custom-uni-2-threads,double,uni_dimensional_array_backed,custom,threaded,2,2
double-100X100-custom-uni-4-threads,double,uni_dimensional_array_backed,custom,threaded,4,1
double-100X100-custom-uni-6-threads,double,uni_dimensional_array_backed,custom,threaded,6,4
double-100X100-custom-uni-8-threads,double,uni_dimensional_array_backed,custom,threaded,8,4
double-100X100-custom-bi-linear,double,bi_dimensional_array_backed,custom,linear,null,1
double-100X100-custom-bi-50-threads,double,bi_dimensional_array_backed,custom,threaded,50,4
double-100X100-custom-bi-2-threads,double,bi_dimensional_array_backed,custom,threaded,2,2
double-100X100-custom-bi-4-threads,double,bi_dimensional_array_backed,custom,threaded,4,1
double-100X100-custom-bi-6-threads,double,bi_dimensional_array_backed,custom,threaded,6,1
double-100X100-custom-bi-8-threads,double,bi_dimensional_array_backed,custom,threaded,8,1
complex-100X100-custom-uni-linear,complex,uni_dimensional_array_backed,custom,linear,null,2
complex-100X100-custom-uni-50-threads,complex,uni_dimensional_array_backed,custom,threaded,50,3
complex-100X100-custom-uni-2-threads,complex,uni_dimensional_array_backed,custom,threaded,2,2
complex-100X100-custom-uni-4-threads,complex,uni_dimensional_array_backed,custom,threaded,4,2
complex-100X100-custom-uni-6-threads,complex,uni_dimensional_array_backed,custom,threaded,6,2
complex-100X100-custom-uni-8-threads,complex,uni_dimensional_array_backed,custom,threaded,8,2
complex-100X100-custom-bi-linear,complex,bi_dimensional_array_backed,custom,linear,null,2
complex-100X100-custom-bi-50-threads,complex,bi_dimensional_array_backed,custom,threaded,50,3
complex-100X100-custom-bi-2-threads,complex,bi_dimensional_array_backed,custom,threaded,2,1
complex-100X100-custom-bi-4-threads,complex,bi_dimensional_array_backed,custom,threaded,4,1
complex-100X100-custom-bi-6-threads,complex,bi_dimensional_array_backed,custom,threaded,6,2
complex-100X100-custom-bi-8-threads,complex,bi_dimensional_array_backed,custom,threaded,8,1
double-1000X1000-custom-uni-linear,double,uni_dimensional_array_backed,custom,linear,null,43
